Injection APS,注塑 APS
No pending preview to import.,没有待正式导入的预览结果。
No primary schedule segments were found.,未找到主排程段。
No scheduled segments for this view.,当前视图没有排程段。
No segment could be placed inside the current planning horizon for {0}.,产品 {0} 在当前计划视窗内无法排入任何排程段。
No shift proposal rows are marked Approved. Review the batch before formal scheduling.,当前没有标记为“已审批”的白夜班建议行，请先审核批次。
No unique mold-machine lanes remain for {0}.,产品 {0} 没有剩余可用的唯一模具-机台产线。
No work order proposal rows are marked Approved. Review the batch before formal creation.,当前没有标记为“已审批”的工单建议行，请先审核批次。
One active version per customer / company,每个客户 / 公司组合仅允许一个生效版本
Only active schedules can drive APS.,只有生效中的客户排期才能驱动 APS。
Only {0} of {1} can be scheduled inside the current horizon for {2}.,产品 {2} 在当前视窗内仅能排入 {0}/{1}。
Open Execution Center,打开执行中心
Open Gantt,打开看板
Open Net Requirement Workbench,打开净需求工作台
Open Release Center,打开释放中心
Open Work Order Scheduling,打开工单排产单
Output/Cycle,产出/周期
Overproduced,超产
Parallel Group,并行组
Partially Reviewed,部分已审核
Planning Date,计划日期
Planning Horizon Days,计划视窗天数
Planning Run,APS 运算
Planning Warnings,运算预警
Planning run completed. Refreshing the run console...,APS 运算已完成，正在刷新运算控制台...
Plant Floor FG Warehouse Field,车间成品仓字段
Plant Floor Scrap Warehouse Field,车间废料仓字段
Plant Floor Source Warehouse Field,车间来源仓字段
Plant Floor WIP Warehouse Field,车间在制仓字段
Preview -> formal import -> rebuild demand pool / net requirement. Keep only one active version for each customer and push the planner directly to the next step.,先预览，再正式导入，再重建需求池 / 净需求。每个客户只保留一个生效版本，并将计划员直接推进到下一步。
Preview Completed,预览已完成
"Preview completed. Review changes, then import and rebuild demand.",预览完成，请检查差异后再正式导入并重建需求。
Preview ready. Primary action now imports and rebuilds demand / net requirement.,预览已就绪，主按钮现在会执行正式导入并重建需求 / 净需求。
Previewing customer schedule import...,正在预览客户排期导入...
Previewing manual schedule adjustment...,正在预检人工排程调整...
Primary Item Code,主物料编码
Primary Mould Reference,主模具引用
Promote To Net Requirement,推进到净需求
Proposal & Execution Center,建议与执行中心
Proposal / execution center refreshed.,建议 / 执行中心已刷新。
Proposal Count,建议数量
Proposal Date,建议日期
Proposed Qty,建议数量
Provide result_name or segment_name to update notes.,请提供结果或排程段以更新备注。
Ready For Review,待审核
Rebuild Demand -> Net,重建需求 -> 净需求
Rebuilding APS exceptions...,正在重建 APS 异常...
Rebuilding demand pool and net requirements...,正在重建需求池和净需求...
Reduced,减少
Refresh Gantt,刷新看板
Required Delivery Date,要求交期
Resolve overlap and mold blockers before applying shift schedule proposals.,请先处理重叠和模具阻断项，再应用白夜班建议。
Result Note,结果备注
Result note saved.,结果备注已保存。
Result {0} has no primary APS schedule segment.,结果 {0} 没有主 APS 排程段。
Result {0} is missing a selected mold reference.,结果 {0} 缺少已选模具引用。
Results already reviewed into proposal / execution flow,已进入建议 / 执行流程的结果
Review / Apply Shift Schedule Proposals,审核 / 应用白夜班建议
Review / Apply Work Order Proposals,审核 / 应用工单建议
Review Note,审核备注
Review Status,审核状态
Review override approval before syncing or releasing.,在同步或释放前请先复核风险放行审批。
Review proposal rows and apply formal work orders,审核建议行并应用正式工单
Review quantity decrease / cancel manually before changing formal work orders.,在变更正式工单前，请先人工审核减量 / 取消动作。
Review the copy-mold split and lock the sequence if the shop agrees.,请复核复制模拆分方案，若现场认可请锁定排产顺序。
APS Approved Segment,APS 已确认排程段
APS Locked Segment,APS 已锁定排程段
Current Run Context,当前 APS运算单上下文
Recalculated,已试算
Work Order Proposals Generated,已生成工单建议
Day/Night Shift Proposals Generated,已生成白/夜班建议
Formally Applied,已正式下推
Confirm Run,确认运算
Monitor Execution Drift,关注执行偏差
Shift Proposals,班次建议
Work Order Proposals,工单建议
Review Work Order Proposals,工单建议审核
Review Day/Night Shift Proposals,白/夜班建议审核
There are still {0} APS exceptions waiting for review.,当前仍有 {0} 条 APS 异常待处理。
Recalculation Completed,已完成重算
Handle Exceptions,处理异常
Risk Pending Review,风险待审
Review Board and Exceptions,查看看板与异常
There is still unscheduled quantity: {0}.,仍有未排数量：{0}。
Plan Approved,计划已审批
The system generated a reconciliation proposal against the current execution layer.,系统已按现有执行层生成对账建议。
Prefer reusing existing work order {0} and update it to the new quantity boundary.,优先复用现有工单 {0}，并按新数量边界更新。
Keep existing work order {0} unchanged and create a delta work order for the extra quantity.,现有工单 {0} 保持不动，额外需求将拆成差额工单。
Keep completed quantity and close the remaining unexecuted quantity.,已执行量保留，剩余未执行量将关闭。
The unstarted work order will be cancelled.,未开工工单将被取消。
The existing work order remains the stable execution container.,现有工单继续作为稳定执行容器。
There is no longer matching APS demand. Recover the unexecuted portion of the existing work order.,当前 APS 已无对应需求，建议回收现有工单未执行部分。
Import and Rebuild,导入并重建
Open Schedule,打开排期单
Net Requirements,净需求
Rebuild Demand and Recalculate,重建需求并重算
Activate the Current Version First,先激活当前版本
Rebuild Demand Pool,重建需求池
Open Net Requirement Workbench,打开净需求工作台
Review Version Diff,查看版本差异
APS Run: {0},APS运算单：{0}
Company: {0},公司：{0}
Plant Floors: {0},车间：{0}
Horizon: {0} days,视窗：{0} 天
This action will recalculate APS results from the current demand.,该操作会按当前需求重新计算 APS 结果。
Confirm APS Run,确认 APS 运算结果
Current Status: {0},当前状态：{0}
Exceptions: {0},异常数：{0}
"After confirmation, the run will move into the downstream proposal review flow.",确认后将进入后续建议审核流程。
Confirm Generate Work Order Proposals,确认生成工单建议
This action will generate a work-order proposal batch for review.,该操作会生成待审核的工单建议批次。
Confirm Generate Day/Night Shift Proposals,确认生成白夜班建议
This action will generate a day/night shift proposal batch for review.,该操作会生成待审核的白/夜班排产建议。
Board,看板
Apply Results,下发结果
Confirm Apply Work Order Results,确认下发工单结果
Work Order Proposal Batch: {0},工单建议批次：{0}
Approved rows will formally create or bind work orders.,已审核通过的行将正式生成或绑定工单。
Confirm Apply Day/Night Shift Results,确认下发白/夜班结果
Shift Proposal Batch: {0},班次建议批次：{0}
Approved rows will formally write day/night scheduling rows.,已审核通过的行将正式写入白/夜班排产单。
Open Execution Scheduling,打开执行排程
Mold {0} already has continuous scheduling after the selected time. This segment cannot be moved later by itself.,模具 {0} 在你选择的时间之后已经有连续排产，当前段不能单独往后拖。
Current Segment,当前段
Target Workstation,目标机台
Target Start,目标开始
Recalculated End,重算结束
Latest Conflict-Free Start,最晚可无冲突开始
Conflicting Segment,冲突段
"Keep the current start time, or choose an earlier time window.",保持当前开始时间，或改为更早的时间窗。
"If the whole chain must move later, shift the downstream segments that use the same mold together.",如果要整体后移，请连带后续同模排程一起调整。
"If only part of the quantity should move later, split the current segment first and then move the remaining quantity.",如果只想后移部分数量，请先拆分当前排程段，再移动剩余量。
The target workstation already has scheduling in this time window. The current segment cannot be inserted directly.,目标机台在该时间窗内已有排程，当前段不能直接插入。
Workstation Conflict,机台冲突
Try a free window on the target workstation.,尝试改到该机台的空闲时间窗。
"If you only want to change sequence, place the current segment before the target segment in an available slot.",如果只是调整顺序，请把当前段放到目标段之前的可用位置。
Manual Move Blocked,人工移动被阻止
Manual Adjustment,手工调整
Manual Adjustment Pending Confirmation,手工调整待确认
"No Mold Product mapping was found for this item, so APS cannot determine an available mold.",未找到该物料的模具产品映射，APS 无法确定可用模具。
Complete the Mold Product mapping for this item in Mold master data.,请在模具主数据中补齐该物料的模具产品映射。
Make sure the corresponding mold master is submitted and available.,确认该物料对应的模具主档已提交且状态可用。
Status Not Maintained,未维护状态
"Check whether the mold is under maintenance, pending asset link, or scrapped.",检查模具状态是否为维修中、待资产关联或已报废。
"Make sure the Mold Product mapping, cycle, and output data are complete.",确认模具产品映射、周期和产出信息是否完整。
"No workstation in the selected plant floors satisfies tonnage, FDA, status, and mold-mapping constraints.",在已选车间内，没有找到满足吨位、FDA、状态和模具映射约束的机台。
Check whether APS Machine Capability has been synchronized and enabled.,检查 APS 机台能力是否已同步并启用。
"Check workstation status, risk category, tonnage, and APS Mould-Machine Rule constraints.",检查机台状态、风险类别、吨位与 APS 模具机台规则限制。
"The current planning horizon ends at {0}, and {1} is still unscheduled.",当前计划视窗截止到 {0}，仍有 {1} 未排入。
"Available capacity inside the current horizon is about {0}, which is lower than the demand {1}.",当前视窗内可用能力约为 {0}，低于需求 {1}。
"The number of molds that can participate in scheduling is limited, so copy molds cannot further increase parallelization.",当前可参与排产的模具数量有限，无法通过复制模进一步并行。
Additional constraints blocked some candidate resources: {0}.,另有约束阻断了部分候选资源：{0}。
Extend the APS horizon or split the demand into the next planning window.,延长 APS 视窗或拆分到下一版计划窗口。
"Check whether more copy molds, eligible workstations, or acceptable manual changeover plans are available.",确认是否有更多复制模、可用机台或可接受的人工换机方案。
Complete mold master data before recalculating or approving APS.,先补齐模具主数据，再重新进行 APS试算或审批。
There are two primary schedule segments on the same workstation at the same time: {0} / {1}.,同一机台在同一时间存在两个主排产段：{0} / {1}。
Adjust sequence or change workstation in the board to ensure only one primary segment exists in the same time window.,在排程看板中调整顺序或改机，确保同一时段只有一个主排产段。
The same mold {0} is scheduled on both {1} and {2} at the same time.,同一模具 {0} 被同时排到 {1} 和 {2}。
"Keep only one primary schedule, or use another independent Mold master as the copy mold.",保留一条主排产，或使用另一副独立模具主档作为复制模。
"Open the board, locate the conflicting segments, and reschedule them.",到排程看板定位冲突段并重新排布。
"This page concentrates the demand pool, stock, WIP, safety stock, and minimum batch uplift results. Rebuild first, then push the filtered context directly into recalculation.",这里集中展示需求池、库存、在制、安全库存和最小经济批量补齐结果。请先重建，再将筛选上下文直接推进到重算。
Loading net requirements...,正在加载净需求...
Net Requirements Ready,净需求已就绪
Rebuild Demand,重建需求
Recalc Console,重算台
Net requirement workbench refreshed.,净需求工作台已刷新。
Failed to load net requirements.,净需求加载失败。
Confirm Demand Rebuild,确认重建需求
Customer: {0},客户：{0}
Item: {0},物料：{0}
This action will rebuild the demand pool and recalculate net requirements.,该操作会重建需求池并重算净需求。
Rebuilding demand and net requirements...,正在重建需求与净需求...
Demand and net requirements were rebuilt.,需求与净需求已重建。
Create Recalc Run,新建重算
Creating recalculation...,正在创建重算...
Recalculation created.,重算已创建。
Recalculation created. Redirecting to the APS run...,重算已创建，正在跳转到 APS运算单...
"Customer delivery schedules, demand pool, net requirements, APS runs, work-order release, and exception tracking are all carried independently inside Injection APS.",客户交付排期、需求池、净需求、APS 运算、工单释放与异常跟踪均由注塑 APS 独立承载。
Confirm Import and Rebuild,确认导入并重建
Confirm Import,确认正式导入
Version: {0},版本：{0}
This will formally import the schedule and rebuild demand / net requirements.,将正式导入并重建需求池/净需求。
This will formally import the current schedule version.,将正式导入当前排期版本。
Schedule Board,排程看板
View Mode,视图模式
Risk,风险
Suggested Actions,建议动作
Technical Blocking Details,技术阻断明细
The schedule board requires a single APS run context. Select a run before viewing Gantt scheduling and risk segments.,排程看板必须绑定单一 APS运算单。请先选择运算单，再查看甘特排程与风险段。
Loading schedule board...,正在加载排程看板...
Schedule board refreshed.,排程看板已刷新。
Failed to load schedule board.,排程看板加载失败。
Blocked / Risk Demands,阻断 / 风险需求
Demands in the current APS run that remain blocked or high risk.,当前 APS运算单 中仍处于阻断或高风险状态的需求。
No Mold,无模具
Schedule Segments,排程段
There are no schedule segments visible in the current view.,当前视图没有可显示的排程段。
The current APS run did not generate any visible schedule segments.,当前 APS运算单没有生成可显示的排程段。
Workstations / Lanes,机台/泳道
segments,段
Adjust Segment Duration,调整段时长
Attention,关注
Critical / Blocking,严重 / 阻断
Family Mold Co-Production,家族模联产
Drag on the timeline to focus on a day or date range,在时间轴上拖拽可聚焦某一天或某个日期区间
Search Segment,搜索排程段
Find,查找
Exit Chart Fullscreen,退出图表区全屏
Chart Fullscreen,图表区全屏
Refresh Schedule Board,刷新排程看板
Reset Date Focus,重置日期聚焦
Open Source,打开来源
Resolution Guidance,处理建议
Root Cause Breakdown,根因拆解
Resource Scope,资源范围
Candidate Molds,候选模具
Candidate Workstations,候选机台
No explicit resolution guidance is available.,暂无明确处理建议。
Open Item,打开物料
Open Workstation,打开机台
Insert Order,插单
Insert Order Impact Analysis,插单影响分析
Analyze,开始分析
Select at least one Plant Floor before running insert-order impact analysis.,请先选择至少一个车间，再执行插单影响分析。
Analyzing insert-order impact...,正在分析插单影响...
Insert-order impact analysis completed.,插单影响分析完成。
Default Frozen Horizon,默认冻结视窗
Residual Scheduling Frozen,剩余排产已冻结
Run Context,APS运算单上下文
Review day/night shift rows and apply formal scheduling,审核白班/晚班建议行并应用正式排产
Risk / Override,风险 / 放行
Risk Flags,风险标识
Run Not Selected,未选择运算单
Run Planning,执行 APS 运算
Run Trial -> Approve -> Work Order Proposal Review -> Shift Proposal Review -> Formal Scheduling -> Execution Feedback. The console keeps each run in a dense list with the next action visible instead of forcing extra clicks.,试算 -> 审批 -> 工单建议审核 -> 白夜班建议审核 -> 正式排产 -> 执行反馈。该控制台用高密度列表保留每次运算，并直接显示下一步动作，减少来回点击。
"Run insert-order analysis to see displaced segments, parallelization and family side outputs.",执行插单影响分析后，可查看被挤占的排程段、并行拆分和家族联产副产出。
Run preview before import.,请先预览，再正式导入。
Running APS planning...,正在执行 APS 运算...
Running APS trial planning...,正在执行 APS 试算...
Save Result Note,保存结果备注
Save Segment Note,保存段备注
Saving result note...,正在保存结果备注...
Saving segment note...,正在保存段备注...
Schedule Explanation,排程说明
Schedule imported successfully.,排期导入成功。
Schedule imported. Demand pool and net requirements were rebuilt.,排期已导入，需求池和净需求已重建。
Scheduled {0} on {1} lane(s); molds {2}; due {3}.,已在 {1} 条产线上排入 {0}；模具 {2}；需求日期 {3}。
Scheduling Item Risk Field,排产明细风险字段
Segment,排程段
Segment Kind,排程段类型
Segment Note,段备注
Segment Status,段状态
Segment detail loaded.,排程段详情已加载。
Segment note saved.,段备注已保存。
Segment {0} is locked or already applied to formal execution.,排程段 {0} 已锁定或已下推到正式执行层。
Segments,排程段数
Selected Moulds,已选模具
Sequence No,顺序号
Severity,严重级别
Shift Proposal,白夜班建议
Shift Proposed,已生成白夜班建议
Shift Schedule Proposal Batches,白夜班建议批次
Shift Schedule Proposals,白夜班排产建议
Shift proposal batch generated.,白夜班建议批次已生成。
Shift schedule proposals applied.,白夜班建议已应用。
Skipped {0} {1} because item {2} belongs to item group {3}. APS only schedules {4}.,已跳过 {0} {1}，因为物料 {2} 属于物料组 {3}，APS 仅排产 {4}。
Slow Progress,进度偏慢
Switch to Machine view before drag re-sequencing.,请先切换到机台视图，再拖拽调整顺序。
Sync Execution Feedback,同步执行反馈
Syncing execution feedback back to APS...,正在同步执行反馈...
Target End Time,目标结束时间
Target Scheduling,目标排产单
Target Start Time,目标开始时间
Target Work Order,目标工单
Target workstation {0} violates FDA restriction.,目标机台 {0} 违反 FDA 限制。
There are {0} APS exceptions to review.,当前有 {0} 条 APS 异常待复核。
This APS action is already running.,该 APS 动作正在执行中。
This move requires risk override.,本次移动需要风险放行。
Today Manufacture,今日生产入库
Tonnage,吨位
Unscheduled qty remains: {0}.,仍有未排数量：{0}。
Uploaded File,上传文件
Version Diff,版本差异
Version No,版本号
View Version Diff,查看版本差异
WO Batch,工单批次
WO Proposal,工单建议
Waiting For Preview,待预览
Window,窗口
Work Order Proposal Batch,工单建议批次
Work Order Proposal Batches,工单建议批次
Work Order Proposals,工单建议
Work Order Proposed,已生成工单建议
Work Order Scheduling is not available in this site.,当前站点没有启用工单排产单。
Work Order Scheduling {0} already belongs to APS run {1}.,工单排产单 {0} 已归属 APS 运算 {1}。
Work Order Scheduling {0} is already frozen by execution.,工单排产单 {0} 已因执行而冻结。
Work Order Scheduling {0} is already in execution status {1}.,工单排产单 {0} 已进入执行状态 {1}。
Work order proposal batch generated.,工单建议批次已生成。
Work order proposals applied.,工单建议已应用。
Workstation Risk Field,机台风险字段
Workstation {0} has overlapping primary segments {1} and {2}.,机台 {0} 上的主排程段 {1} 与 {2} 发生时间重叠。
Workstation {0} is currently {1}.,机台 {0} 当前状态为 {1}。
Workstation {0} is not a valid lane for {1}.,机台 {0} 不是 {1} 的有效产线。
Workstation {0} is not enabled in APS Machine Capability for plant floor {1}.,机台 {0} 未在车间 {1} 的 APS 机台能力中启用。
Workstation {0} tonnage {1}T does not meet the minimum mold tonnage {2}T required for {3}.,机台 {0} 的吨位 {1} 吨不满足 {3} 所需模具最小吨位 {2} 吨。
Workstation {0} violates FDA restriction for {1}. Use manual risk override only if approved.,机台 {0} 对 {1} 违反 FDA 限制。只有在审批通过后才可使用人工风险放行。
{0} has a small run quantity {1} against changeover {2} minutes. {3},{0} 的本次排产数量仅 {1}，但对应切换损失为 {2} 分钟。{3}
Primary Segment Overlap,主排程段重叠
Mold Master Missing,模具主数据缺失
Mold Product Missing,模具产品映射缺失
Mold Cycle Missing,模具周期缺失
Mold Reference Empty,模具引用为空
Mold Status Blocked,模具状态阻断
Primary Segment Missing,主排程段缺失
Manual Work Order Review,人工工单审核
Shift Scheduling Frozen,班次排产已冻结
Delayed Execution,执行延误
Actual Output Mismatch,实际产出不匹配
FDA Override,FDA 风险放行
Color Transition Blocked,换色阻断
Mould Changeover,换模切换
Copy Mold Parallelized,复制模并行
Mold Unavailable,模具不可用
Low Qty High Changeover Risk,低批量高换模风险
Generate Work Order Proposals,生成工单建议
Generate Shift Schedule Proposals,生成白夜班排产建议
Review and apply work order proposals,审核并应用工单建议
Review and apply day/night shift proposals,审核并应用白班/晚班建议
Formal Work Orders Ready,正式工单已就绪
Formal Schedule Applied,正式排产已应用
Work Order Proposal Review,工单建议审核
Shift Schedule Proposal Review,白夜班建议审核
Plan Approved,计划已审批
Trial Planned,试算已完成
Risk Review,风险复核
Review Exceptions,复核异常
Review Gantt and Exceptions,查看看板与异常
Open Run,打开运算单
Open Execution Center,打开执行中心
Apply reviewed work order proposals,应用已审核的工单建议
Apply reviewed day/night shift proposals,应用已审核的白班/晚班建议
APS Mould-Machine Rule does not allow item {0} on workstation {1}.,APS 模具机台匹配规则不允许物料 {0} 排到机台 {1}。
APS Schedule Segment {0} was not found.,未找到 APS 排程段 {0}。
"APS stays as a planning layer. Formal documents are created only after proposal review: work orders first, then day/night shift scheduling, then execution feedback rolls back into APS.",APS 保持为计划层。只有在建议审核通过后才会生成正式单据：先工单，再白班/晚班排产，最后再把执行反馈回写 APS。
"All candidate lanes for {0} were blocked by mold, FDA or setup constraints.",产品 {0} 的所有候选产线都被模具、FDA 或准备约束阻断。
"Check Mold status, Mold Product mapping and submitted mold master data.",请检查模具状态、模具产品映射关系以及已提交的模具主数据。
"Demand pool, stock, WIP, safety stock and minimum batch uplift are compressed here. Rebuild from the active schedule, then push the filtered context straight into a trial run.",这里集中展示需求池、库存、在制、安全库存缺口和最小经济批量补齐结果。请从生效排期重建后，再把筛选上下文直接推进到试算。
"Drag a segment to another qualified machine lane or in front of another segment. APS will preview the move against tonnage, FDA, mold usage, family co-production and frozen constraints before saving.",可将排程段拖到其他合格机台，或拖到另一段之前。保存前 APS 会先预检吨位、FDA、模具占用、家族联产和冻结约束。
"Extend the horizon, release additional copy molds or split the requirement.",请延长计划视窗、释放额外复制模，或拆分该需求。
"Preview completed. Review changes, then import and rebuild demand.",预览完成，请检查差异后正式导入并重建需求。
"Review the planned sequence, capacity and frozen segments.",请检查当前排程顺序、产能占用和冻结排程段。
"Run insert-order analysis to see displaced segments, parallelization and family side outputs.",执行插单影响分析后，可查看被挤占的排程段、并行拆分方案和家族联产副产出。
No rows available to export.,暂无可导出的数据。
Generated On,生成时间
Excel export ready.,Excel 导出文件已生成。
Preparing Excel export...,正在准备 Excel 导出...
Failed to export Excel.,Excel 导出失败。
Excel Export Failed,Excel 导出失败
Work Order Proposal Review,工单建议审核
WO Proposal,工单建议
Formal work-order suggestions pending manual review.,待人工审核的正式工单建议。
Shift Schedule Proposal Review,白夜班排产建议审核
Shift Proposal,班次排产建议
White/night shift scheduling suggestions pending review.,待审核的白班/夜班排产建议。
APS Formal Apply Log,APS 正式下推日志
Release Log,下推日志
Applied work orders and scheduling downstream logs.,已正式下推的工单与排产日志。
APS Exception Review,APS 异常审核
Exceptions,异常
Blocking and warning rows for manual analysis.,供人工分析的阻断与预警记录。
Impact Plan,影响方案
Parallelization plan generated from insert-order analysis.,插单影响分析生成的并行排产方案。
Customer Delivery Schedule Overview,客户交付排期总览
Active customer schedule versions currently driving APS.,当前正在驱动 APS 的客户排期版本。
Schedule Import Batch Review,排期导入批次审核
Import Batches,导入批次
Imported customer schedule batches and next recommended steps.,已导入的客户排期批次及建议下一步。
Schedule Import Preview,排期导入预览
Preview Diff,预览差异
Preview rows before formally importing customer schedule data.,客户排期正式导入前的预览数据。
APS Planning Run Console,APS 运算控制台
Planning Runs,计划运算
Planning runs with execution health and next-step summary.,包含执行健康度与下一步建议的 APS 运算清单。
APS Net Requirement Workbench,APS 净需求工作台
Net requirement rows for manual planning analysis.,供人工计划分析使用的净需求明细。
Requested Date,需求日期
Demand Source,需求来源
Risk Status,风险状态
Exception Types,异常类型汇总
Rows currently blocked or carrying high scheduling risk.,当前被阻断或高风险的需求行。
Source Doctype,来源单据类型
Demand Date,需求日期
Effective Output Qty,有效单模产出
Cycle Time Seconds,周期秒数
Update Existing,更新现有工单
Close Residual,关闭未执行残量
Cancel Unstarted,取消未开工工单
Create Delta,创建增量工单
Move Existing,移动现有排产
Cancel Existing,取消现有排产
Demand Delta,需求差异
Generated from APS Planning Run {0}. Review against existing work orders before formal reconciliation.,基于 APS 运算单 {0} 生成，请先对账现有工单后再正式落地。
Generated from APS work order proposal batch {0}. Review against existing day/night shift scheduling before formal reconciliation.,基于工单建议批次 {0} 生成，请先对白班/晚班正式排产后再正式落地。
Formal Work Order {0} created by APS reconciliation.,APS 对账后已创建正式工单 {0}。
Delta Work Order {0} created while preserving existing container {1}.,在保留现有执行容器 {1} 的前提下，已创建增量工单 {0}。
